country,country_name,income_level_code,income_group,complete_years,first_complete_year,last_complete_year,included,exclusion_reason,coverage_rule,selected_country_set_sha256
BDI,Burundi,LIC,Low and Middle Income,17,1998,2018,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
BEL,Belgium,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
BEN,Benin,LMC,Low and Middle Income,21,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
BFA,Burkina Faso,LIC,Low and Middle Income,19,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
BGD,Bangladesh,LMC,Low and Middle Income,19,2000,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
BGR,Bulgaria,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
BHR,Bahrain,HIC,High Income,14,1996,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
BHS,"Bahamas, The",HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
BIH,Bosnia and Herzegovina,UMC,Low and Middle Income,20,2000,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
BLR,Belarus,UMC,Low and Middle Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
BLZ,Belize,UMC,Low and Middle Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
BMU,Bermuda,HIC,High Income,12,2006,2018,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
BOL,Bolivia,LMC,Low and Middle Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
BRA,Brazil,UMC,Low and Middle Income,9,2012,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
BRB,Barbados,HIC,High Income,14,2000,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
BRN,Brunei Darussalam,HIC,High Income,21,1998,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
BTN,Bhutan,LMC,Low and Middle Income,13,2005,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
BWA,Botswana,UMC,Low and Middle Income,21,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
CAF,Central African Republic,LIC,Low and Middle Income,8,2000,2012,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
CAN,Canada,HIC,High Income,16,2000,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
CHE,Switzerland,HIC,High Income,20,2000,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
CHI,Channel Islands,HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
CHL,Chile,HIC,High Income,20,2000,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
CHN,China,UMC,Low and Middle Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
CIV,Cote d'Ivoire,LMC,Low and Middle Income,12,2007,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
CMR,Cameroon,LMC,Low and Middle Income,20,2000,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
COD,"Congo, Dem. Rep.",LIC,Low and Middle Income,9,2006,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
COG,"Congo, Rep.",LMC,Low and Middle Income,8,2000,2017,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
COL,Colombia,UMC,Low and Middle Income,19,2000,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
COM,Comoros,LMC,Low and Middle Income,11,1996,2017,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
CPV,Cabo Verde,UMC,Low and Middle Income,18,2000,2018,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
CRI,Costa Rica,HIC,High Income,10,2004,2019,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
CUB,Cuba,UMC,Low and Middle Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
CUW,Curacao,HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
CYM,Cayman Islands,HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
CYP,Cyprus,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
CZE,Czechia,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
DEU,Germany,HIC,High Income,8,2013,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
DJI,Djibouti,LMC,Low and Middle Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
DMA,Dominica,UMC,Low and Middle Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
DNK,Denmark,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
DOM,Dominican Republic,UMC,Low and Middle Income,7,2003,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
DZA,Algeria,UMC,Low and Middle Income,19,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
ECU,Ecuador,UMC,Low and Middle Income,7,2008,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
EGY,"Egypt, Arab Rep.",LMC,Low and Middle Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
ERI,Eritrea,LIC,Low and Middle Income,7,1996,2010,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
ESP,Spain,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
EST,Estonia,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
ETH,Ethiopia,LIC,Low and Middle Income,13,1996,2014,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
FIN,Finland,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
FJI,Fiji,UMC,Low and Middle Income,10,2003,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
FRA,France,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
FRO,Faroe Islands,HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
FSM,"Micronesia, Fed. Sts.",UMC,Low and Middle Income,1,2000,2000,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
GAB,Gabon,UMC,Low and Middle Income,1,2003,2003,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
GBR,United Kingdom,HIC,High Income,20,2000,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
GEO,Georgia,UMC,Low and Middle Income,21,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
GHA,Ghana,LMC,Low and Middle Income,15,2005,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
GIB,Gibraltar,HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
GIN,Guinea,LMC,Low and Middle Income,13,1996,2014,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
GMB,"Gambia, The",LIC,Low and Middle Income,4,2004,2012,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
GNB,Guinea-Bissau,LIC,Low and Middle Income,2,2005,2006,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
GNQ,Equatorial Guinea,UMC,Low and Middle Income,1,2000,2000,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
GRC,Greece,HIC,High Income,17,2000,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
GRD,Grenada,UMC,Low and Middle Income,5,2009,2018,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
GRL,Greenland,HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
GTM,Guatemala,UMC,Low and Middle Income,10,2002,2019,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
GUM,Guam,HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
GUY,Guyana,HIC,High Income,11,1996,2012,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
HKG,"Hong Kong SAR, China",HIC,High Income,18,2003,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
HND,Honduras,LMC,Low and Middle Income,15,1996,2019,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
HRV,Croatia,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
