country,country_name,income_level_code,income_level_name,region_code,region_name,is_aggregate
MDA,Moldova,UMC,Upper middle income,ECS,Europe & Central Asia,False
MDE,Middle East (developing only),NA,Aggregates,NA,Aggregates,True
MDG,Madagascar,LIC,Low income,SSF,Sub-Saharan Africa ,False
MDV,Maldives,UMC,Upper middle income,SAS,South Asia,False
MEA,"Middle East, North Africa, Afghanistan & Pakistan",NA,Aggregates,NA,Aggregates,True
MEX,Mexico,UMC,Upper middle income,LCN,Latin America & Caribbean ,False
MHL,Marshall Islands,UMC,Upper middle income,EAS,East Asia & Pacific,False
MIC,Middle income,NA,Aggregates,NA,Aggregates,True
MKD,North Macedonia,UMC,Upper middle income,ECS,Europe & Central Asia,False
MLI,Mali,LIC,Low income,SSF,Sub-Saharan Africa ,False
MLT,Malta,HIC,High income,MEA,"Middle East, North Africa, Afghanistan & Pakistan",False
MMR,Myanmar,LMC,Lower middle income,EAS,East Asia & Pacific,False
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",NA,Aggregates,NA,Aggregates,True
MNE,Montenegro,UMC,Upper middle income,ECS,Europe & Central Asia,False
MNG,Mongolia,UMC,Upper middle income,EAS,East Asia & Pacific,False
MNP,Northern Mariana Islands,HIC,High income,EAS,East Asia & Pacific,False
MOZ,Mozambique,LIC,Low income,SSF,Sub-Saharan Africa ,False
MRT,Mauritania,LMC,Lower middle income,SSF,Sub-Saharan Africa ,False
MUS,Mauritius,UMC,Upper middle income,SSF,Sub-Saharan Africa ,False
MWI,Malawi,LIC,Low income,SSF,Sub-Saharan Africa ,False
MYS,Malaysia,UMC,Upper middle income,EAS,East Asia & Pacific,False
NAC,North America,NA,Aggregates,NA,Aggregates,True
NAF,North Africa,NA,Aggregates,NA,Aggregates,True
NAM,Namibia,LMC,Lower middle income,SSF,Sub-Saharan Africa ,False
NCL,New Caledonia,HIC,High income,EAS,East Asia & Pacific,False
NER,Niger,LIC,Low income,SSF,Sub-Saharan Africa ,False
NGA,Nigeria,LMC,Lower middle income,SSF,Sub-Saharan Africa ,False
NIC,Nicaragua,LMC,Lower middle income,LCN,Latin America & Caribbean ,False
NLD,Netherlands,HIC,High income,ECS,Europe & Central Asia,False
NOR,Norway,HIC,High income,ECS,Europe & Central Asia,False
NPL,Nepal,LMC,Lower middle income,SAS,South Asia,False
NRS,Non-resource rich Sub-Saharan Africa countries,NA,Aggregates,NA,Aggregates,True
NRU,Naoero,HIC,High income,EAS,East Asia & Pacific,False
NXS,"IDA countries not classified as fragile situations, excluding Sub-Saharan Africa",NA,Aggregates,NA,Aggregates,True
NZL,New Zealand,HIC,High income,EAS,East Asia & Pacific,False
OED,OECD members,NA,Aggregates,NA,Aggregates,True
OMN,Oman,HIC,High income,MEA,"Middle East, North Africa, Afghanistan & Pakistan",False
OSS,Other small states,NA,Aggregates,NA,Aggregates,True
PAK,Pakistan,LMC,Lower middle income,MEA,"Middle East, North Africa, Afghanistan & Pakistan",False
PAN,Panama,HIC,High income,LCN,Latin America & Caribbean ,False
PER,Peru,UMC,Upper middle income,LCN,Latin America & Caribbean ,False
PHL,Philippines,UMC,Upper middle income,EAS,East Asia & Pacific,False
PLW,Palau,HIC,High income,EAS,East Asia & Pacific,False
PNG,Papua New Guinea,LMC,Lower middle income,EAS,East Asia & Pacific,False
POL,Poland,HIC,High income,ECS,Europe & Central Asia,False
PRE,Pre-demographic dividend,NA,Aggregates,NA,Aggregates,True
PRI,Puerto Rico (US),HIC,High income,LCN,Latin America & Caribbean ,False
PRK,"Korea, Dem. People's Rep.",LIC,Low income,EAS,East Asia & Pacific,False
PRT,Portugal,HIC,High income,ECS,Europe & Central Asia,False
PRY,Paraguay,UMC,Upper middle income,LCN,Latin America & Caribbean ,False
PSE,West Bank and Gaza,LMC,Lower middle income,MEA,"Middle East, North Africa, Afghanistan & Pakistan",False
PSS,Pacific island small states,NA,Aggregates,NA,Aggregates,True
PST,Post-demographic dividend,NA,Aggregates,NA,Aggregates,True
PYF,French Polynesia,HIC,High income,EAS,East Asia & Pacific,False
QAT,Qatar,HIC,High income,MEA,"Middle East, North Africa, Afghanistan & Pakistan",False
ROU,Romania,HIC,High income,ECS,Europe & Central Asia,False
RRS,Resource rich Sub-Saharan Africa countries,NA,Aggregates,NA,Aggregates,True
RUS,Russian Federation,HIC,High income,ECS,Europe & Central Asia,False
RWA,Rwanda,LIC,Low income,SSF,Sub-Saharan Africa ,False
SAS,South Asia,NA,Aggregates,NA,Aggregates,True
SAU,Saudi Arabia,HIC,High income,MEA,"Middle East, North Africa, Afghanistan & Pakistan",False
SDN,Sudan,LIC,Low income,SSF,Sub-Saharan Africa ,False
SEN,Senegal,LMC,Lower middle income,SSF,Sub-Saharan Africa ,False
SGP,Singapore,HIC,High income,EAS,East Asia & Pacific,False
SLB,Solomon Islands,LMC,Lower middle income,EAS,East Asia & Pacific,False
SLE,Sierra Leone,LIC,Low income,SSF,Sub-Saharan Africa ,False
SLV,El Salvador,UMC,Upper middle income,LCN,Latin America & Caribbean ,False
SMR,San Marino,HIC,High income,ECS,Europe & Central Asia,False
SOM,"Somalia, Fed. Rep.",LIC,Low income,SSF,Sub-Saharan Africa ,False
SRB,Serbia,UMC,Upper middle income,ECS,Europe & Central Asia,False
SSA,Sub-Saharan Africa (excluding high income),NA,Aggregates,NA,Aggregates,True
SSD,South Sudan,LIC,Low income,SSF,Sub-Saharan Africa ,False
SSF,Sub-Saharan Africa ,NA,Aggregates,NA,Aggregates,True
SST,Small states,NA,Aggregates,NA,Aggregates,True
STP,Sao Tome and Principe,LMC,Lower middle income,SSF,Sub-Saharan Africa ,False
SUR,Suriname,UMC,Upper middle income,LCN,Latin America & Caribbean ,False
SVK,Slovak Republic,HIC,High income,ECS,Europe & Central Asia,False
SVN,Slovenia,HIC,High income,ECS,Europe & Central Asia,False
SWE,Sweden,HIC,High income,ECS,Europe & Central Asia,False
SWZ,Eswatini,LMC,Lower middle income,SSF,Sub-Saharan Africa ,False
SXM,Sint Maarten (Dutch part),HIC,High income,LCN,Latin America & Caribbean ,False
SXZ,Sub-Saharan Africa excluding South Africa,NA,Aggregates,NA,Aggregates,True
SYC,Seychelles,HIC,High income,SSF,Sub-Saharan Africa ,False
SYR,Syrian Arab Republic,LIC,Low income,MEA,"Middle East, North Africa, Afghanistan & Pakistan",False
TCA,Turks and Caicos Islands,HIC,High income,LCN,Latin America & Caribbean ,False
TCD,Chad,LIC,Low income,SSF,Sub-Saharan Africa ,False
TEA,East Asia & Pacific (IDA & IBRD countries),NA,Aggregates,NA,Aggregates,True
TEC,Europe & Central Asia (IDA & IBRD countries),NA,Aggregates,NA,Aggregates,True
TGO,Togo,LMC,Lower middle income,SSF,Sub-Saharan Africa ,False
THA,Thailand,UMC,Upper middle income,EAS,East Asia & Pacific,False
TJK,Tajikistan,LMC,Lower middle income,ECS,Europe & Central Asia,False
TKM,Turkmenistan,UMC,Upper middle income,ECS,Europe & Central Asia,False
TLA,Latin America & the Caribbean (IDA & IBRD countries),NA,Aggregates,NA,Aggregates,True
TLS,Timor-Leste,LMC,Lower middle income,EAS,East Asia & Pacific,False
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",NA,Aggregates,NA,Aggregates,True
TON,Tonga,UMC,Upper middle income,EAS,East Asia & Pacific,False
TSA,South Asia (IDA & IBRD),NA,Aggregates,NA,Aggregates,True
TSS,Sub-Saharan Africa (IDA & IBRD countries),NA,Aggregates,NA,Aggregates,True
TTO,Trinidad and Tobago,HIC,High income,LCN,Latin America & Caribbean ,False
TUN,Tunisia,LMC,Lower middle income,MEA,"Middle East, North Africa, Afghanistan & Pakistan",False
TUR,Turkiye,UMC,Upper middle income,ECS,Europe & Central Asia,False
TUV,Tuvalu,UMC,Upper middle income,EAS,East Asia & Pacific,False
TZA,Tanzania,LMC,Lower middle income,SSF,Sub-Saharan Africa ,False
UGA,Uganda,LIC,Low income,SSF,Sub-Saharan Africa ,False
UKR,Ukraine,UMC,Upper middle income,ECS,Europe & Central Asia,False
UMC,Upper middle income,NA,Aggregates,NA,Aggregates,True
URY,Uruguay,HIC,High income,LCN,Latin America & Caribbean ,False
USA,United States,HIC,High income,NAC,North America,False
UZB,Uzbekistan,LMC,Lower middle income,ECS,Europe & Central Asia,False
VCT,St. Vincent and the Grenadines,UMC,Upper middle income,LCN,Latin America & Caribbean ,False
VEN,"Venezuela, RB",LMC,Lower middle income,LCN,Latin America & Caribbean ,False
VGB,British Virgin Islands,HIC,High income,LCN,Latin America & Caribbean ,False
VIR,Virgin Islands (U.S.),HIC,High income,LCN,Latin America & Caribbean ,False
VNM,Viet Nam,UMC,Upper middle income,EAS,East Asia & Pacific,False
VUT,Vanuatu,LMC,Lower middle income,EAS,East Asia & Pacific,False
WLD,World,NA,Aggregates,NA,Aggregates,True
WSM,Samoa,UMC,Upper middle income,EAS,East Asia & Pacific,False
XKX,Kosovo,UMC,Upper middle income,ECS,Europe & Central Asia,False
XZN,Sub-Saharan Africa excluding South Africa and Nigeria,NA,Aggregates,NA,Aggregates,True
YEM,"Yemen, Rep.",LIC,Low income,MEA,"Middle East, North Africa, Afghanistan & Pakistan",False
ZAF,South Africa,UMC,Upper middle income,SSF,Sub-Saharan Africa ,False
ZMB,Zambia,LMC,Lower middle income,SSF,Sub-Saharan Africa ,False
ZWE,Zimbabwe,LMC,Lower middle income,SSF,Sub-Saharan Africa ,False
